	description	short_description
PF05300	Protein of unknown function (DUF737)	DUF737
PF05339	Protein of unknown function (DUF739)	DUF739
PF05340	Protein of unknown function (DUF740)	DUF740
PF05331	Protein of unknown function (DUF742)	DUF742
PF05332	Protein of unknown function (DUF743)	DUF743
PF05335	Protein of unknown function (DUF745)	DUF745
PF05344	Domain of Unknown Function (DUF746)	DUF746
PF05346	Eukaryotic membrane protein family	DUF747
PF05359	Domain of Unknown Function (DUF748)	DUF748
PF05370	Domain of unknown function (DUF749)	DUF749
PF04721	Domain of unknown function (DUF750)	DUF750
PF05421	Protein of unknown function (DUF751)	DUF751
PF05444	Protein of unknown function (DUF753)	DUF753
PF05449	Protein of unknown function (DUF754)	DUF754
PF05501	Domain of unknown function (DUF755)	DUF755
PF05506	Domain of unknown function (DUF756)	DUF756
PF05527	Domain of unknown function (DUF758)	DUF758
PF05537	Borrelia burgdorferi protein of unknown function (DUF759)	DUF759
PF05542	Protein of unknown function (DUF760)	DUF760
PF05553	Cotton fibre expressed protein	DUF761
PF05555	Coxiella burnetii protein of unknown function (DUF762)	DUF762
PF05559	Protein of unknown function (DUF763)	DUF763
PF05561	Borrelia burgdorferi protein of unknown function (DUF764)	DUF764
PF05570	Circovirus protein of unknown function (DUF765)	DUF765
PF05571	Protein of unknown function (DUF766)	DUF766
PF05589	Protein of unknown function (DUF768)	DUF768
PF05590	Xylella fastidiosa protein of unknown function (DUF769)	DUF769
PF01910	Domain of unknown function DUF77	DUF77
PF05591	Protein of unknown function (DUF770)	DUF770
PF05595	Domain of unknown function (DUF771)	DUF771
PF05598	Transposase domain (DUF772)	DUF772
PF05600	Protein of unknown function (DUF773)	DUF773
PF05603	Protein of unknown function (DUF775)	DUF775
PF05604	Protein of unknown function (DUF776)	DUF776
PF05606	Borrelia burgdorferi protein of unknown function (DUF777)	DUF777
PF05608	Protein of unknown function (DUF778)	DUF778
PF05610	Protein of unknown function (DUF779)	DUF779
PF05611	Caenorhabditis elegans protein of unknown function (DUF780)	DUF780
PF05612	Mouse protein of unknown function (DUF781)	DUF781
PF05614	Circovirus protein of unknown function (DUF782)	DUF782
PF05619	Borrelia burgdorferi protein of unknown function (DUF787)	DUF787
PF05620	Protein of unknown function (DUF788)	DUF788
PF05623	Protein of unknown function (DUF789)	DUF789
PF05626	Protein of unknown function (DUF790)	DUF790
PF05631	Protein of unknown function (DUF791)	DUF791
PF05632	Borrelia burgdorferi protein of unknown function (DUF792)	DUF792
PF05633	Protein of unknown function (DUF793)	DUF793
PF05638	Protein of unknown function (DUF796)	DUF796
PF05643	Putative bacterial lipoprotein (DUF799)	DUF799
PF05650	Domain of unknown function (DUF802)	DUF802
PF05656	Protein of unknown function (DUF805)	DUF805
PF05657	Protein of unknown function (DUF806)	DUF806
PF05660	Coxiella burnetii protein of unknown function (DUF807)	DUF807
PF05661	Protein of unknown function (DUF808)	DUF808
PF05663	Protein of unknown function (DUF809)	DUF809
PF05664	Protein of unknown function (DUF810)	DUF810
PF05667	Protein of unknown function (DUF812)	DUF812
PF05670	Domain of unknown function (DUF814)	DUF814
PF05673	Protein of unknown function (DUF815)	DUF815
PF05674	Baculovirus protein of unknown function (DUF816)	DUF816
PF05675	Protein of unknown function (DUF817)	DUF817
PF05677	Chlamydia CHLPS protein (DUF818)	DUF818
PF05684	Protein of unknown function (DUF819)	DUF819
PF05687	Plant protein of unknown function (DUF822)	DUF822
PF05689	Salmonella repeat of unknown function (DUF823)	DUF823
PF05688	Salmonella repeat of unknown function (DUF824)	DUF824
PF05695	Plant protein of unknown function (DUF825)	DUF825
PF05696	Protein of unknown function (DUF826)	DUF826
PF05705	Eukaryotic protein of unknown function (DUF829)	DUF829
PF05708	Orthopoxvirus protein of unknown function (DUF830)	DUF830
PF05734	Herpesvirus protein of unknown function (DUF832)	DUF832
PF05754	Domain of unknown function (DUF834)	DUF834
PF05763	Protein of unknown function (DUF835)	DUF835
PF05768	Glutaredoxin-like domain (DUF836)	DUF836
PF05769	Protein of unknown function (DUF837)	DUF837
PF05787	Bacterial protein of unknown function (DUF839)	DUF839
PF05801	Lagovirus protein of unknown function (DUF840)	DUF840
PF05811	Eukaryotic protein of unknown function (DUF842)	DUF842
PF05814	Baculovirus protein of unknown function (DUF843)	DUF843
PF05815	Baculovirus protein of unknown function (DUF844)	DUF844
PF05820	Baculovirus protein of unknown function (DUF845)	DUF845
PF05832	Eukaryotic protein of unknown function (DUF846)	DUF846
PF05852	Gammaherpesvirus protein of unknown function (DUF848)	DUF848
PF05853	Prokaryotic protein of unknown function (DUF849)	DUF849
PF05867	Protein of unknown function (DUF851)	DUF851
PF05872	Bacterial protein of unknown function (DUF853)	DUF853
PF05895	Siphovirus protein of unknown function (DUF859)	DUF859
PF01934	Protein of unknown function DUF86	DUF86
PF05904	Plant protein of unknown function (DUF863)	DUF863
PF05906	Herpesvirus-7 repeat of unknown function (DUF865)	DUF865
PF05907	Eukaryotic protein of unknown function (DUF866)	DUF866
PF05908	Protein of unknown function (DUF867)	DUF867
PF05910	Plant protein of unknown function (DUF868)	DUF868
PF05911	Plant protein of unknown function (DUF869)	DUF869
PF01935	Domain of unknown function DUF87	DUF87
PF05912	Caenorhabditis elegans protein of unknown function (DUF870)	DUF870
PF05913	Bacterial protein of unknown function (DUF871)	DUF871
PF05915	Eukaryotic protein of unknown function (DUF872)	DUF872
PF05917	Helicobacter pylori protein of unknown function (DUF874)	DUF874
PF05936	Bacterial protein of unknown function (DUF876)	DUF876
PF05943	Protein of unknown function (DUF877)	DUF877
PF05947	Bacterial protein of unknown function (DUF879)	DUF879
PF05949	Bacterial protein of unknown function (DUF881)	DUF881
PF05957	Bacterial protein of unknown function (DUF883)	DUF883
PF05959	Nucleopolyhedrovirus protein of unknown function (DUF884)	DUF884
PF05960	Bacterial protein of unknown function (DUF885)	DUF885
PF01937	Protein of unknown function DUF89	DUF89
PF05974	Domain of unknown function (DUF892)	DUF892
PF05979	Bacterial protein of unknown function (DUF896)	DUF896
PF05982	Domain of unknown function (DUF897)	DUF897
PF05987	Bacterial protein of unknown function (DUF898)	DUF898
PF05988	Bacterial protein of unknown function (DUF899)	DUF899
PF05990	Alpha/beta hydrolase of unknown function (DUF900)	DUF900
PF06001	Domain of Unknown Function (DUF902)	DUF902
PF06004	Bacterial protein of unknown function (DUF903)	DUF903
PF06005	Protein of unknown function (DUF904)	DUF904
PF06006	Bacterial protein of unknown function (DUF905)	DUF905
PF06012	Domain of Unknown Function (DUF908)	DUF908
PF01939	Protein of unknown function DUF91	DUF91
PF06014	Bacterial protein of unknown function (DUF910)	DUF910
PF06023	Archaeal protein of unknown function (DUF911)	DUF911
PF06024	Nucleopolyhedrovirus protein of unknown function (DUF912)	DUF912
PF06025	Domain of Unknown Function (DUF913)	DUF913
PF06027	Eukaryotic protein of unknown function (DUF914)	DUF914
PF06028	Alpha/beta hydrolase of unknown function (DUF915)	DUF915
PF06030	Bacterial protein of unknown function (DUF916)	DUF916
PF06032	Protein of unknown function (DUF917)	DUF917
PF06033	Nucleopolyhedrovirus protein of unknown function (DUF918)	DUF918
PF06034	Nucleopolyhedrovirus protein of unknown function (DUF919)	DUF919
PF01940	Integral membrane protein DUF92	DUF92
PF06037	Bacterial protein of unknown function (DUF922)	DUF922
PF06041	Bacterial protein of unknown function (DUF924)	DUF924
PF06042	Bacterial protein of unknown function (DUF925)	DUF925
PF06048	Domain of unknown function (DUF927)	DUF927
PF06051	Domain of Unknown Function (DUF928)	DUF928
PF06053	Domain of unknown function (DUF929)	DUF929
PF06059	Domain of Unknown Function (DUF930)	DUF930
PF06067	Domain of unknown function (DUF932)	DUF932
PF06073	Bacterial protein of unknown function (DUF934)	DUF934
PF06074	Protein of unknown function (DUF935)	DUF935
PF06075	Plant protein of unknown function (DUF936)	DUF936
PF06078	Bacterial protein of unknown function (DUF937)	DUF937
PF06080	Protein of unknown function (DUF938)	DUF938
PF06081	Bacterial protein of unknown function (DUF939)	DUF939
PF11728	DUF939 C-terminal domain	DUF939_C
PF06082	Bacterial putative lipoprotein (DUF940)	DUF940
PF06092	Enterobacterial putative membrane protein (DUF943)	DUF943
PF06097	Bacterial protein of unknown function (DUF945)	DUF945
PF06101	Plant protein of unknown function (DUF946)	DUF946
PF06102	Domain of unknown function (DUF947)	DUF947
PF06103	Bacterial protein of unknown function (DUF948)	DUF948
PF01944	Integral membrane protein DUF95	DUF95
PF06106	Staphylococcus protein of unknown function (DUF950)	DUF950
PF06107	Bacterial protein of unknown function (DUF951)	DUF951
PF06108	Protein of unknown function (DUF952)	DUF952
PF06110	Eukaryotic protein of unknown function (DUF953)	DUF953
PF06114	Domain of unknown function (DUF955)	DUF955
PF06115	Domain of unknown function (DUF956)	DUF956
PF06117	Enterobacterial protein of unknown function (DUF957)	DUF957
PF06121	Domain of Unknown Function (DUF959)	DUF959
PF06124	Staphylococcal protein of unknown function (DUF960)	DUF960
PF06125	Bacterial protein of unknown function (DUF961)	DUF961
PF06127	Protein of unknown function (DUF962)	DUF962
PF06131	Schizosaccharomyces pombe repeat of unknown function (DUF963)	DUF963
PF06133	Protein of unknown function (DUF964)	DUF964
PF06135	Bacterial protein of unknown function (DUF965)	DUF965
PF06136	Domain of unknown function (DUF966)	DUF966
PF06147	Protein of unknown function (DUF968)	DUF968
PF06149	Protein of unknown function (DUF969)	DUF969
PF06153	Protein of unknown function (DUF970)	DUF970
PF06155	Protein of unknown function (DUF971)	DUF971
PF06156	Protein of unknown function (DUF972)	DUF972
PF06157	Protein of unknown function (DUF973)	DUF973
PF06159	Protein of unknown function (DUF974)	DUF974
PF06161	Protein of unknown function (DUF975)	DUF975
PF06162	Caenorhabditis elegans protein of unknown function (DUF976)	DUF976
PF06163	Bacterial protein of unknown function (DUF977)	DUF977
PF06166	Protein of unknown function (DUF979)	DUF979
PF01947	Protein of unknown function (DUF98)	DUF98
PF06168	Protein of unknown function (DUF981)	DUF981
PF06169	Protein of unknown function (DUF982)	DUF982
PF06170	Protein of unknown function (DUF983)	DUF983
PF06173	Protein of unknown function (DUF986)	DUF986
PF06174	Protein of unknown function (DUF987)	DUF987
PF06181	Protein of unknown function (DUF989)	DUF989
PF01949	Protein of unknown function DUF99	DUF99
PF06186	Protein of unknown function (DUF992)	DUF992
PF06187	Protein of unknown function (DUF993)	DUF993
PF06191	Protein of unknown function (DUF995)	DUF995
PF06195	Protein of unknown function (DUF996)	DUF996
PF06196	Protein of unknown function (DUF997)	DUF997
PF06197	Protein of unknown function (DUF998)	DUF998
PF06198	Protein of unknown function (DUF999)	DUF999
PF12377	Duffy binding protein N terminal	DuffyBP_N
PF05424	Duffy binding domain	Duffy_binding
PF10204	Dual oxidase maturation factor	DuoxA
PF00674	DUP family	DUP
PF01207	Dihydrouridine synthase (Dus)	Dus
PF06337	DUSP domain	DUSP
PF00692	dUTPase	dUTPase
PF08761	dUTPase	dUTPase_2
PF08137	DVL family	DVL
PF08783	DWNN domain	DWNN
PF01666	DX module	DX
PF13288	DXP reductoisomerase C-terminal domain	DXPR_C
PF08436	1-deoxy-D-xylulose 5-phosphate reductoisomerase C-terminal	DXP_redisom_C
PF02670	1-deoxy-D-xylulose 5-phosphate reductoisomerase	DXP_reductoisom
PF13292	1-deoxy-D-xylulose-5-phosphate synthase	DXP_synthase_N
PF09742	Dyggve-Melchior-Clausen syndrome protein	Dymeclin
PF12455	Dynein associated protein	Dynactin
PF07426	Dynactin subunit p22	Dynactin_p22
PF05502	Dynactin p62 family	Dynactin_p62
PF01031	Dynamin central region	Dynamin_M
PF00350	Dynamin family	Dynamin_N
PF04912	Dynamitin	Dynamitin
PF03028	Dynein heavy chain and region D6 of dynein motor	Dynein_heavy
PF11540	Cytoplasmic dynein 1 intermediate chain 2	Dynein_IC2
PF01221	Dynein light chain type 1	Dynein_light
PF04261	Dyp-type peroxidase family	Dyp_perox
PF04440	Dysbindin (Dystrobrevin binding protein 1)	Dysbindin
PF14432	DYW family of nucleic acid deaminases	DYW_deaminase
PF07528	DZF domain	DZF
PF13815	Iguana/Dzip1-like DAZ-interacting protein N-terminal	Dzip-like_N
PF12773	Double zinc ribbon	DZR
PF00122	E1-E2 ATPase	E1-E2_ATPase
PF14463	E1 N-terminal domain	E1-N
PF02221	ML domain	E1_DerP2_DerF2
PF00676	Dehydrogenase E1 component	E1_dh
PF08199	Bacteriophage E2-like protein	E2
PF02319	E2F/DP family winged-helix DNA-binding domain	E2F_TDP
PF11570	Coiled-coil receptor-binding R-domain of colicin E2	E2R135
PF08825	E2 binding domain	E2_bind
PF02817	e3 binding domain	E3_binding
PF11547	E3 ubiquitin ligase EDD	E3_UbLigase_EDD
PF13764	E3 ubiquitin-protein ligase UBR4	E3_UbLigase_R4
PF00518	Early Protein (E6)	E6
PF00527	E7 protein, Early protein	E7
PF12180	TSG101 and ALIX binding domain of CEP55	EABR
PF13935	Ead/Ea22-like protein	Ead_Ea22
PF09816	RNA polymerase II transcription elongation factor	EAF
PF07904	Chromatin modification-related protein EAF7	Eaf7
PF00563	EAL domain	EAL
PF00892	EamA-like transporter family	EamA
PF04157	EAP30/Vps36 family	EAP30
PF10238	E2F-associated phosphoprotein	Eapp_C
PF01309	Equine arteritis virus small envelope glycoprotein	EAV_GS
PF01683	EB module	EB
PF03271	EB1-like C-terminal motif	EB1
PF05937	EB-1 Binding Domain	EB1_binding
PF11556	Erythrocyte binding antigen 175	EBA-175_VI
PF05505	Ebola nucleoprotein	Ebola_NP
PF05241	Emopamil binding protein	EBP
PF05890	Eukaryotic rRNA processing protein EBP2	Ebp2
PF09007	EBP50, C-terminal	EBP50_C-term
PF02905	Epstein Barr virus nuclear antigen-1, DNA-binding domain	EBV-NA1
PF05009	Epstein-Barr virus nuclear antigen 3 (EBNA-3)	EBV-NA3
PF09459	Ethylbenzene dehydrogenase	EB_dh
PF07155	ECF-type riboflavin transporter, S component	ECF-ribofla_trS
PF00378	Enoyl-CoA hydratase/isomerase family	ECH
PF13766	2-enoyl-CoA Hydratase C-terminal region	ECH_C
PF14784	C-terminal domain of the ECSIT protein	ECIST_Cterm
PF02958	Ecdysteroid kinase	EcKinase
PF12855	Life-span regulatory factor	Ecl1
PF04736	Eclosion hormone	Eclosion
PF05782	Extracellular matrix protein 1 (ECM1)	ECM1
PF15463	Extracellular mutant protein 11	ECM11
PF13001	Proteasome stabiliser	Ecm29
PF12454	GPI-anchored cell wall organization protein	Ecm33
PF07669	Eco57I restriction-modification methylase	Eco57I
PF08463	EcoEI R protein C-terminal	EcoEI_R_C
PF12008	Type I restriction and modification enzyme - subunit R C terminal	EcoR124_C
PF02963	Restriction endonuclease EcoRI	EcoRI
PF09019	EcoRII C terminal	EcoRII-C
PF09217	Restriction endonuclease EcoRII, N-terminal	EcoRII-N
PF13651	Adenine-specific methyltransferase EcoRI	EcoRI_methylase
PF03974	Ecotin	Ecotin
PF14382	Exosome complex exonuclease RRP4 N-terminal region	ECR1_N
PF05975	Bacterial ABC transporter protein EcsB	EcsB
PF12787	EcsC protein family	EcsC
PF06239	Evolutionarily conserved signalling intermediate in Toll pathway	ECSIT
PF06457	Ectatomin	Ectatomin
PF08917	Transforming growth factor beta receptor 2 ectodomain	ecTbetaR2
PF06339	Ectoine synthase	Ectoine_synth
PF14381	Ethylene-responsive protein kinase Le-CTR1	EDR1
PF10587	Eukaryotic elongation factor 1 beta central acidic region	EF-1_beta_acid
PF00036	EF hand	EF-hand_1
PF14788	EF hand	EF-hand_10
PF09068	EF hand	EF-hand_2
PF09069	EF-hand	EF-hand_3
PF12763	Cytoskeletal-regulatory complex EF hand	EF-hand_4
PF13202	EF hand	EF-hand_5
PF13405	EF-hand domain	EF-hand_6
PF13499	EF-hand domain pair	EF-hand_7
PF13833	EF-hand domain pair	EF-hand_8
PF14658	EF-hand domain	EF-hand_9
PF09279	Phosphoinositide-specific phospholipase C, efhand-like	EF-hand_like
PF00647	Elongation factor 1 gamma, conserved domain	EF1G
PF00736	EF-1 guanine nucleotide exchange domain	EF1_GNE
PF12199	Extracellular fibrinogen binding protein C terminal	efb-c
PF14884	Type I membrane glycoproteins cell-cell fusogen	EFF-AFF
PF04518	Effector from type III secretion system	Effector_1
PF00679	Elongation factor G C-terminus	EFG_C
PF14492	Elongation Factor G, domain II	EFG_II
PF03764	Elongation factor G, domain IV	EFG_IV
PF08726	Ca2+ insensitive EF hand	EFhand_Ca_insen
PF01132	Elongation factor P (EF-P) OB domain	EFP
PF08207	Elongation factor P (EF-P) KOW-like domain	EFP_N
PF11957	THO complex subunit 1 transcription elongation factor	efThoc1
PF08355	EF hand associated	EF_assoc_1
PF08356	EF hand associated	EF_assoc_2
PF00889	Elongation factor TS	EF_TS
PF00008	EGF-like domain	EGF
PF07974	EGF-like domain	EGF_2
PF12947	EGF domain	EGF_3
PF04863	Alliinase EGF-like domain	EGF_alliinase
PF07645	Calcium-binding EGF domain	EGF_CA
PF12946	MSP1 EGF domain 1	EGF_MSP1_1
PF01303	Egg lysin (Sperm-lysin)	Egg_lysin
PF11430	Programmed cell death activator EGL-1	EGL-1
PF10622	Energy-converting hydrogenase B subunit P (EhbP)	Ehbp
PF06441	Epoxide hydrolase N terminus	EHN
PF09528	Ehrlichia tandem repeat (Ehrlichia_rpt)	Ehrlichia_rpt
PF15611	EH_Signature domain	EH_Signature
PF07264	Etoposide-induced protein 2.4 (EI24)	EI24
PF00971	EIAV coat protein, gp90	EIAV_GP90
PF11129	Rev protein of equine infectious anaemia virus	EIAV_Rev
PF01176	Translation initiation factor 1A / IF-1	eIF-1a
PF05470	Eukaryotic translation initiation factor 3 subunit 8 N-terminus	eIF-3c_N
PF05091	Eukaryotic translation initiation factor 3 subunit 7 (eIF-3)	eIF-3_zeta
PF06273	Plant specific eukaryotic initiation factor 4B	eIF-4B
PF01287	Eukaryotic elongation factor 5A hypusine, DNA-binding OB fold	eIF-5a
PF01873	Domain found in IF2B/IF5	eIF-5_eIF-2B
PF01912	eIF-6 family	eIF-6
PF08662	Eukaryotic translation initiation factor eIF2A	eIF2A
PF09173	Initiation factor eIF2 gamma, C terminal	eIF2_C
PF12353	Eukaryotic translation initiation factor 3 subunit G	eIF3g
PF09440	eIF3 subunit 6 N terminal domain	eIF3_N
PF12807	Translation initiation factor eIF3 subunit 135	eIF3_p135
PF08597	Translation initiation factor eIF3 subunit	eIF3_subunit
PF10477	Nucleocytoplasmic shuttling protein for mRNA cap-binding EIF4E	EIF4E-T
PF07541	Eukaryotic translation initiation factor 2 alpha subunit	EIF_2_alpha
PF05456	Eukaryotic translation initiation factor 4E binding protein (EIF4EBP)	eIF_4EBP
PF12152	Eukaryotic translation initiation factor 4G1	eIF_4G1
PF03608	PTS system enzyme II sorbitol-specific factor	EII-GUT
PF03609	PTS system sorbose-specific iic component	EII-Sor
PF03610	PTS system fructose IIA component	EIIA-man
PF07663	Sorbitol phosphotransferase enzyme II C-terminus	EIIBC-GUT_C
PF03612	Sorbitol phosphotransferase enzyme II N-terminus	EIIBC-GUT_N
PF03611	PTS system sugar-specific permease component	EIIC-GAT
PF03613	PTS system mannose/fructose/sorbose family IID component	EIID-AGA
PF04873	Ethylene insensitive 3	EIN3
PF10371	Domain of unknown function	EKR
PF03317	ELF protein	ELF
PF12310	Transcription factor protein N terminal	Elf-1_N
PF05129	Transcription elongation factor Elf1 like	Elf1
PF00208	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase	ELFV_dehydrog
PF02812	Glu/Leu/Phe/Val dehydrogenase, dimerisation domain	ELFV_dehydrog_N
PF02323	Egg-laying hormone precursor	ELH
PF00964	Elicitin	Elicitin
PF03789	ELK domain	ELK
PF10390	RNA polymerase II elongation factor ELL	ELL
PF01448	ELM2 domain	ELM2
PF04727	ELMO/CED-12 family	ELMO_CED12
PF01151	GNS1/SUR4 family	ELO
PF09285	Elongation factor P, C-terminal	Elong-fact-P_C
PF06881	RNA polymerase II transcription factor SIII (Elongin) subunit A	Elongin_A
PF10483	Elongator subunit Iki1	Elong_Iki1
PF13934	Nuclear pore complex assembly	ELYS
PF02488	Merozoite Antigen	EMA
PF03587	EMG1/NEP1 methyltransferase	EMG1
PF07546	EMI domain	EMI
PF01105	emp24/gp25L/p24 family/GOLD	EMP24_GP25L
PF02990	Endomembrane protein 70	EMP70
PF13536	Multidrug resistance efflux transporter	EmrE
PF15362	Enamelin	Enamelin
PF12761	Actin cytoskeleton-regulatory complex protein END3	End3
PF10576	Iron-sulfur binding domain of endonuclease III	EndIII_4Fe-2S
PF07010	Endomucin	Endomucin
PF09195	Restriction endonuclease BglII	Endonuc-BglII
PF09194	Restriction endonuclease BsobI	Endonuc-BsobI
PF09124	T4 recombination endonuclease VII, dimerisation	Endonuc-dimeris
PF09233	Restriction endonuclease EcoRV	Endonuc-EcoRV
PF09254	Restriction endonuclease FokI, C terminal	Endonuc-FokI_C
PF09226	Restriction endonuclease HincII	Endonuc-HincII
PF09208	Restriction endonuclease MspI	Endonuc-MspI
PF09225	Restriction endonuclease PvuII	Endonuc-PvuII
PF04231	Endonuclease I	Endonuclease_1
PF04493	Endonuclease V	Endonuclease_5
PF02945	Recombination endonuclease VII	Endonuclease_7
PF01223	DNA/RNA non-specific endonuclease	Endonuclease_NS
PF13930	DNA/RNA non-specific endonuclease	Endonuclea_NS_2
PF14562	Restriction endonuclease BglI	Endonuc_BglI
PF10107	Endonuclease related to archaeal Holliday junction resolvase	Endonuc_Holl
PF09062	PI-PfuI Endonuclease subdomain	Endonuc_subdom
PF06482	Collagenase NC10 and Endostatin	Endostatin
PF04667	cAMP-regulated phosphoprotein/endosulfine conserved region	Endosulfine
PF00322	Endothelin family	Endothelin
PF03944	delta endotoxin	Endotoxin_C
PF00555	delta endotoxin	Endotoxin_M
PF09131	Bacillus thuringiensis delta-Endotoxin, middle domain	Endotoxin_mid
PF03945	delta endotoxin, N-terminal domain	Endotoxin_N
PF14436	Bacterial EndoU nuclease	EndoU_bacteria
PF12195	Beta barrel domain of bacteriophage endosialidase	End_beta_barrel
PF12217	Catalytic beta propeller domain of bacteriophage endosialidase	End_beta_propel
PF12218	N terminal extension of bacteriophage endosialidase	End_N_terminal
PF12219	Catalytic domain of bacteriophage endosialidase	End_tail_spike
PF10525	Engrailed homeobox C-terminal signature domain	Engrail_1_C_sig
PF03272	Viral enhancin protein	Enhancin
PF13864	Calmodulin-binding	Enkurin
PF07055	Enoyl reductase FAD binding domain	Eno-Rase_FAD_bd
PF12242	NAD(P)H binding domain of trans-2-enoyl-CoA reductase	Eno-Rase_NADH_b
PF08247	ENOD40 protein	ENOD40
PF03386	Early nodulin 93 ENOD93 protein	ENOD93
PF00113	Enolase, C-terminal TIM barrel domain	Enolase_C
PF03952	Enolase, N-terminal domain	Enolase_N
PF12241	Trans-2-enoyl-CoA reductase catalytic region	Enoyl_reductase
PF03735	ENT domain	ENT
PF08951	Enterocin A Immunity	EntA_Immun
PF08085	Entericidin EcnA/B family	Entericidin
PF01375	Heat-labile enterotoxin alpha chain	Enterotoxin_a
PF01376	Heat-labile enterotoxin beta chain	Enterotoxin_b
PF08090	Heat stable E.coli enterotoxin 1	Enterotoxin_HS1
PF02048	Heat-stable enterotoxin ST	Enterotoxin_ST
PF01417	ENTH domain	ENTH
PF09590	Lentivirus surface glycoprotein	Env-gp36
PF10163	Transcription factor e(y)2	EnY2
PF12326	N-glycosylation protein	EOS1
PF00811	Ependymin	Ependymin
PF14575	Ephrin type-A receptor 2 transmembrane domain	EphA2_TM
PF00812	Ephrin	Ephrin
PF01404	Ephrin receptor ligand binding domain	Ephrin_lbd
PF14654	Mucin, catalytic, TM and cytoplasmic tail region	Epiglycanin_C
PF05647	Tandem-repeating region of mucin, epiglycanin-like	Epiglycanin_TR
PF01370	NAD dependent epimerase/dehydratase family	Epimerase
PF02350	UDP-N-acetylglucosamine 2-epimerase	Epimerase_2
PF13950	UDP-glucose 4-epimerase C-term subunit	Epimerase_Csub
PF10513	Enhancer of polycomb-like	EPL1
PF09067	Erythropoietin receptor, ligand binding	EpoR_lig-bind
PF00758	Erythropoietin/thrombopoietin	EPO_TPO
PF07268	Exported protein precursor (EppA/BapA)	EppA_BapA
PF14897	EpsG family	EpsG
PF08998	Bacterial epsilon antitoxin	Epsilon_antitox
PF00275	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)	EPSP_synthase
PF03736	EPTP domain	EPTP
PF11772	DNA-directed RNA polymerase subunit beta	EpuA
PF08135	Major transforming protein E5 family	EPV_E5
PF06502	Equine infectious anaemia virus S2 protein	Equine_IAV_S2
PF01133	Enhancer of rudimentary	ER
PF14755	Intracellular membrane remodeller	ER-remodelling
PF11838	ERAP1-like C-terminal domain	ERAP1_C
PF12497	Estrogen receptor beta	ERbeta_N
PF02732	ERCC4 domain	ERCC4
PF04404	ERF superfamily	ERF
PF03463	eRF1 domain 1	eRF1_1
PF03464	eRF1 domain 2	eRF1_2
PF03465	eRF1 domain 3	eRF1_3
PF10256	Golgin subfamily A member 7/ERF4 family	Erf4
PF03694	Erg28 like protein	Erg28
PF04622	ERG2 and Sigma1 receptor like protein	ERG2_Sigma1R
PF01222	Ergosterol biosynthesis ERG4/ERG24 family	ERG4_ERG24
PF13850	Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)	ERGIC_N
PF15002	ERK and JNK pathways, inhibitor	ERK-JNK_inhib
PF00769	Ezrin/radixin/moesin family	ERM
PF06308	23S rRNA methylase leader peptide (ErmC)	ErmC
PF04137	Endoplasmic Reticulum Oxidoreductin 1 (ERO1)	ERO1
PF07749	Endoplasmic reticulum protein ERp29, C-terminal domain	ERp29
PF07912	ERp29, N-terminal domain	ERp29_N
PF06780	Erp protein C-terminus	Erp_C
PF04148	Transmembrane adaptor Erv26	Erv26
PF09277	Erythronolide synthase, docking	Erythro-docking
PF06795	Erythrovirus X protein	Erythrovirus_X
PF05139	Erythromycin esterase	Erythro_esteras
PF08051	Erythromycin resistance leader peptide	Ery_res_leader1
PF08057	Erythromycin resistance leader peptide	Ery_res_leader2
PF00810	ER lumen protein retaining receptor	ER_lumen_recept
PF09751	Nuclear protein Es2	Es2
PF03238	ESAG protein	ESAG1
PF05871	ESCRT-II complex subunit	ESCRT-II
PF03433	EspA-like secreted protein	EspA
PF05802	Enterobacterial EspB protein	EspB
PF04806	EspF protein repeat	EspF
PF06872	EspG protein	EspG
PF13018	Extended Signal Peptide of Type V secretion system	ESPR
PF12743	Oestrogen-type nuclear receptor final C-terminal	ESR1_C
PF10661	WXG100 protein secretion system (Wss), protein EssA	EssA
PF10183	ESSS subunit of NADH:ubiquinone oxidoreductase (complex I)	ESSS
PF10374	Telomerase activating protein Est1	EST1
PF10373	Est1 DNA/RNA binding domain	EST1_DNA_bind
PF00756	Putative esterase	Esterase
PF10503	Esterase PHB depolymerase	Esterase_phd
PF14011	EspG family	ESX-1_EspG
PF01684	ET module	ET
PF15350	Ewing's tumour-associated antigen 1 homologue	ETAA1
PF04800	ETC complex I subunit conserved region	ETC_C1_NDUFA4
PF04716	ETC complex I subunit conserved region	ETC_C1_NDUFA5
PF01012	Electron transfer flavoprotein domain	ETF
PF00766	Electron transfer flavoprotein FAD-binding domain	ETF_alpha
PF05187	Electron transfer flavoprotein-ubiquinone oxidoreductase	ETF_QO
PF07110	EthD domain	EthD
PF06670	Microneme protein Etmic-2	Etmic-2
PF09716	Malarial early transcribed membrane protein (ETRAMP)	ETRAMP
PF00178	Ets-domain	Ets
PF04621	PEA3 subfamily ETS-domain transcription factor N terminal domain	ETS_PEA3_N
PF03318	Clostridium epsilon toxin ETX/Bacillus mosquitocidal toxin MTX2	ETX_MTX2
PF05842	Euplotes octocarinatus mating pheromone protein	Euplotes_phero
PF06937	EURL protein	EURL
PF06277	Ethanolamine utilisation protein EutA	EutA
